#,Subjects,Start date,Close Date
16556,Add to Cart - Invest module.,25-May-21,17-Jul-21
16526,Scheme type and scheme name not getting prefilled on new funds tab of transaction page ,24-May-21,13-Jul-21
16506,Portfolio details view section,24-May-21,31-May-21
16500,Checkbox for terms and conditions for stp,24-May-21,01-Jun-21
16491,Reschedule icon navigation error for sip,24-May-21,19-Jul-21
16474,Holder name and folio number dropdown not displayed for new funds ,24-May-21,23-Aug-21
16439,UTR field is missing ,24-May-21,17-Jul-21
16286,SIP transaction page ,21-May-21,17-Jul-21
16135,Terms and condition message for transaction pages ,19-May-21,24-May-21
16132,ARN code error,19-May-21,
16040,Latest activities  ,19-May-21,20-May-21
16008,ZBF redemption error message for order book ,19-May-21,18-Aug-21
16000,Distributor details ,19-May-21,24-May-21
15998,"Risk "" i "" icon ",19-May-21,25-May-21
15906,Login page background colour ,18-May-21,06-Aug-21
15905,Delete message for lumpus ,18-May-21,28-May-21
15904,Neft / Rtgs error for table( notice),18-May-21,17-Jul-21
15894,Plan option - Category page and fund detail page ,18-May-21,24-May-21
15890,Payment mode issue - Review and checkout page ,18-May-21,09-Aug-21
15856,Lumpsum cashflow - user can proceed without checkmark on terms and conditions,17-May-21,19-May-21
15719,Distributor details for sell ,15-May-21,31-May-21
15705,Payment modes with different combinations or sell ,15-May-21,
15619,New investor and non kyc investor for sip,15-May-21,18-May-21
15606,Basket invest - Know more button for sell,14-May-21,17-May-21
15605,Side menus - Post login for stp,14-May-21,24-May-21
15604,HUF folio creation  error for swp,14-May-21,17-Jul-21
15603,Overseas address for orderbook ,14-May-21,17-May-21
15602,Basket invest - Redirection issue (Passive Funds),14-May-21,18-May-21
15555,User not able to enter email id for KYC & Non KYC pan,14-May-21,17-May-21
15253,ZBF menus ,10-May-21,18-May-21
15208,"Onboarding page displays ""false,,Please provide second holder tax resident"" error message .",10-May-21,14-May-21
15174,Inconsistent behaviour of sidebar ,10-May-21,12-May-21
15170,functional message for PMS ,10-May-21,17-May-21
15034,ZBF,06-May-21,07-May-21
14987,Swp,06-May-21,14-May-21
14984,STP calendar,06-May-21,
14982,order book pagination ,06-May-21,09-May-21
14883,"Text colour is very light - iphone ,Ipad",05-May-21,23-Aug-21
14873,Create new folio - iphone,05-May-21,09-May-21
14865,Invest -Iphone ,05-May-21,11-May-21
14855,Review and checkout page - iphone ,05-May-21,14-May-21
14796,Iphone ,05-May-21,18-May-21
14787,my portfolio,05-May-21,08-May-21
14783,Side menus ,05-May-21,08-May-21
14780,SIP start date end date displayed below,05-May-21,09-Jul-21
14779,Header turned white,05-May-21,09-May-21
14771,order book - tablet ,05-May-21,09-May-21
14763,Sell -  tablet ,05-May-21,20-Aug-21
14738,"Schedule SWP , STP",05-May-21,
14732,Schedule investment  ,05-May-21,
14606,Basket Invest -  Tablet android ,04-May-21,07-May-21
14549,"Portfolio graph is not displayed properly-Ipad, mobile android",03-May-21,24-May-21
14544,Navigation button should be provided ,03-May-21,11-Oct-21
14511,Scheme names are overlapping ,03-May-21,06-May-21
14482,Account statement - MAC ,03-May-21,06-May-21
14480,Capital gain / loss - MAC ,03-May-21,06-May-21
14478,Schedule SIP - MAC ,03-May-21,06-May-21
14476,Schedule SWP - MAC ,03-May-21,14-May-21
14475,SWP - MAC ,03-May-21,06-May-21
14473,Error message does not disappear for sip,03-May-21,11-May-21
14471,Transfer for stp,03-May-21,14-May-21
